component_id,short_name,display_name,category,group,agencies,manufacturers,materials,summary,source_ids,timeline,model_storage_path,model_file_name,snapshot_storage_path,snapshot_file_name,is_default_selection,details
harmony-node-2,Harmony,Harmony Node 2,node-module,US Orbital Segment,"{""NASA"",""ESA"",""ASI""}","{""Thales Alenia Space""}","{""Aluminum pressure shell"",""Common Berthing Mechanism ports"",""utilities and data distribution""}","A utility hub that connects the US Destiny lab with Europe's Columbus laboratory, Japan's Kibo laboratory, and visiting vehicle adapters.","{""iss-assembly""}","[{""date"":""2007-10-23"",""event"":""Launched on STS-120.""},{""date"":""2007-11-14"",""event"":""Installed at Destiny's forward end.""}]",usdzs%secondary_components/Node2.usdz,Node2_secondary_component.usdz,,,false,[]
tranquility-node-3,Tranquility,Tranquility Node 3,node-module,US Orbital Segment,"{""NASA"",""ESA"",""ASI""}","{""Thales Alenia Space""}","{""Aluminum pressure shell"",""Common Berthing Mechanism ports"",""life-support equipment racks""}","A node module that houses life-support and exercise systems and provides ports for Cupola, BEAM, and Bishop.","{""iss-assembly""}","[{""date"":""2010-02-08"",""event"":""Launched on STS-130 with Cupola.""},{""date"":""2010-02-12"",""event"":""Attached to Unity.""}]",usdzs%secondary_components/Node3.usdz,Node3_secondary_component.usdz,,,false,[]
pressurized-mating-adapter-1,PMA-1,Pressurized Mating Adapter 1,adapter,US/Russian Interface,"{""NASA""}","{""Boeing""}","{""Aluminum pressure shell"",""docking and berthing interface hardware""}","A pressurized adapter that forms the permanent tunnel between Unity and Zarya, linking the US and Russian orbital segments.","{""iss-assembly""}","[{""date"":""1998-12-04"",""event"":""Launched with Unity on STS-88.""},{""date"":""1998-12-06"",""event"":""Used to connect Unity and Zarya.""}]",usdzs%secondary_components/PMA1.usdz,PMA1_secondary_component.usdz,,,false,[]
pressurized-mating-adapter-2,PMA-2,Pressurized Mating Adapter 2,adapter,US Orbital Segment,"{""NASA""}","{""Boeing""}","{""Aluminum pressure shell"",""docking interface hardware""}",A pressurized docking adapter originally used by the Space Shuttle and later paired with an international docking adapter for visiting spacecraft.,"{""iss-assembly""}","[{""date"":""1998-12-04"",""event"":""Launched with Unity on STS-88.""},{""date"":""2007-11"",""event"":""Relocated to Harmony's forward end during station assembly.""}]",usdzs%secondary_components/PMA2.usdz,PMA2_secondary_component.usdz,,,false,[]
pressurized-mating-adapter-3,PMA-3,Pressurized Mating Adapter 3,adapter,US Orbital Segment,"{""NASA""}","{""Boeing""}","{""Aluminum pressure shell"",""docking interface hardware""}",A pressurized adapter used for docking and later reconfigured as the station's visiting-vehicle interface needs changed.,"{""iss-assembly""}","[{""date"":""2000-10-11"",""event"":""Launched on STS-92.""},{""date"":""2000-10"",""event"":""Installed during early station assembly and later relocated several times.""}]",usdzs%secondary_components/PMA3.usdz,PMA3_secondary_component.usdz,,,false,[]
permanent-multipurpose-module,Leonardo PMM,Permanent Multipurpose Module,storage-module,US Orbital Segment,"{""NASA"",""ASI""}","{""Thales Alenia Space""}","{""Aluminum pressure shell"",""cargo rack structure"",""micrometeoroid shielding""}","A converted Leonardo logistics module used as permanent pressurized storage for supplies, spare parts, and experiment hardware.","{""iss-assembly""}","[{""date"":""2011-02-24"",""event"":""Launched on STS-133 aboard Space Shuttle Discovery.""},{""date"":""2011-03-01"",""event"":""Installed on Unity's nadir port.""}]",usdzs%secondary_components/PMM.usdz,PMM_secondary_component.usdz,,,false,[]
port-solar-alpha-rotary-joint,Port SARJ,Port Solar Alpha Rotary Joint,power-rotation-system,Integrated Truss Structure,"{""NASA""}","{""NASA and Boeing""}","{""Steel bearing race"",""aluminum support structure"",""drive-lock assemblies""}",A large rotary mechanism that turns the port-side solar array wings to track the Sun and maximize electrical power generation.,"{""iss-assembly""}","[{""date"":""2006-09-09"",""event"":""Launched with the P3/P4 truss on STS-115.""},{""date"":""2006-09"",""event"":""Installed to rotate the port-side solar arrays.""}]",usdzs%secondary_components/PORT_ALPHA_ROT.usdz,PORT_ALPHA_ROT_secondary_component.usdz,,,false,[]
prichal-docking-module,Prichal,Prichal Docking Module,docking-node,Russian Orbital Segment,"{""Roscosmos""}","{""RKK Energia""}","{""Aluminum pressure shell"",""multiple docking ports"",""propellant and utility interfaces""}","A spherical Russian docking node attached to Nauka, adding ports for Soyuz, Progress, and potential future Russian-segment vehicles or modules.","{""iss-assembly""}","[{""date"":""2021-11-24"",""event"":""Launched on a Soyuz-2.1b rocket with Progress M-UM.""},{""date"":""2021-11-26"",""event"":""Docked to Nauka.""}]",usdzs%secondary_components/Russian_RSNode_DockingModule.usdz,Russian_RSNode_DockingModule_secondary_component.usdz,,,false,[]
starboard-solar-alpha-rotary-joint,Starboard SARJ,Starboard Solar Alpha Rotary Joint,power-rotation-system,Integrated Truss Structure,"{""NASA""}","{""NASA and Boeing""}","{""Steel bearing race"",""aluminum support structure"",""drive-lock assemblies""}",A rotary joint that steers the starboard solar array wings so the power system can track the Sun during each orbit.,"{""iss-assembly""}","[{""date"":""2007-06-08"",""event"":""Launched with the S3/S4 truss on STS-117.""},{""date"":""2007-06"",""event"":""Installed to rotate the starboard-side solar arrays.""}]",usdzs%secondary_components/STBD_ALPHA_ROT.usdz,STBD_ALPHA_ROT_secondary_component.usdz,,,false,[]
p1-truss,P1,P1 Truss,truss-segment,Integrated Truss Structure,"{""NASA""}","{""Boeing""}","{""Aluminum truss structure"",""thermal-control lines"",""radiator support hardware""}","A port-side truss segment that supports radiators, utilities, and structural loads across the station backbone.","{""iss-assembly""}","[{""date"":""2002-11-23"",""event"":""Launched on STS-113.""},{""date"":""2002-11"",""event"":""Installed on the port side of the truss.""}]",usdzs%secondary_components/Truss_P1.usdz,Truss_P1_secondary_component.usdz,,,false,[]
p3-truss,P3/P4,P3/P4 Truss,truss-segment,Integrated Truss Structure,"{""NASA""}","{""Boeing""}","{""Aluminum truss structure"",""solar array mast hardware"",""rotary joint components""}",A port-side truss assembly carrying the port Solar Alpha Rotary Joint and solar power hardware.,"{""iss-assembly""}","[{""date"":""2006-09-09"",""event"":""Launched on STS-115.""},{""date"":""2006-09"",""event"":""Installed on the port side with solar-array and rotation hardware.""}]",usdzs%secondary_components/Truss_P3.usdz,Truss_P3_secondary_component.usdz,,,false,[]
s0-truss,S0,S0 Truss,truss-segment,Integrated Truss Structure,"{""NASA""}","{""Boeing""}","{""Aluminum truss structure"",""utility trays"",""Mobile Transporter rails""}","The central backbone segment of the ISS truss, mounted to Destiny and used as the base for later port and starboard truss expansion.","{""iss-assembly""}","[{""date"":""2002-04-08"",""event"":""Launched on STS-110.""},{""date"":""2002-04"",""event"":""Mounted above Destiny as the central truss segment.""}]",usdzs%secondary_components/Truss_S0.usdz,Truss_S0_secondary_component.usdz,,,false,[]
s1-truss,S1,S1 Truss,truss-segment,Integrated Truss Structure,"{""NASA""}","{""Boeing""}","{""Aluminum truss structure"",""thermal-control lines"",""radiator support hardware""}","A starboard truss segment that carries cooling, power, and structural systems for the station's external backbone.","{""iss-assembly""}","[{""date"":""2002-10-07"",""event"":""Launched on STS-112.""},{""date"":""2002-10"",""event"":""Installed on the starboard side of S0.""}]",usdzs%secondary_components/Truss_S1.usdz,Truss_S1_secondary_component.usdz,,,false,[]
s3-truss,S3/S4,S3/S4 Truss,truss-segment,Integrated Truss Structure,"{""NASA""}","{""Boeing""}","{""Aluminum truss structure"",""solar array mast hardware"",""rotary joint components""}",A starboard truss assembly carrying the starboard Solar Alpha Rotary Joint and solar power hardware.,"{""iss-assembly""}","[{""date"":""2007-06-08"",""event"":""Launched on STS-117.""},{""date"":""2007-06"",""event"":""Installed on the starboard side with solar-array and rotation hardware.""}]",usdzs%secondary_components/Truss_S3.usdz,Truss_S3_secondary_component.usdz,,,false,[]
destiny-us-laboratory,Destiny,Destiny U.S. Laboratory,laboratory,US Orbital Segment,"{""NASA""}","{""Boeing""}","{""Aluminum pressure shell"",""stainless steel end cones"",""International Standard Payload Rack interfaces""}","NASA's primary laboratory module for US research on the ISS, supporting experiments in life science, materials, technology, fluid physics, and Earth observation.","{""iss-assembly""}","[{""date"":""2001-02-07"",""event"":""Launched on STS-98 aboard Space Shuttle Atlantis.""},{""date"":""2001-02-10"",""event"":""Berthed to Unity's forward port.""}]",usdzs%secondary_components/USLab.usdz,USLab_secondary_component.usdz,,,false,[]
z1-truss,Z1,Z1 Truss,truss-segment,Integrated Truss Structure,"{""NASA""}","{""Boeing""}","{""Aluminum truss structure"",""control moment gyroscope mounts"",""communications hardware""}",An early zenith truss that temporarily supported solar arrays and still houses key station attitude-control and communications equipment.,"{""iss-assembly""}","[{""date"":""2000-10-11"",""event"":""Launched on STS-92.""},{""date"":""2000-10"",""event"":""Installed on Unity's zenith port.""}]",usdzs%secondary_components/Z1.usdz,Z1_secondary_component.usdz,,,false,[]
zarya-fgb,Zarya,Zarya Functional Cargo Block,service-and-storage-module,Russian Orbital Segment,"{""NASA"",""Roscosmos""}","{""Khrunichev State Research and Production Space Center""}","{""Aluminum pressure shell"",""propellant tanks"",""solar arrays"",""docking hardware""}","The first ISS module launched. Zarya provided early power, propulsion, attitude control, communications, and storage before the station grew around it.","{""iss-assembly""}","[{""date"":""1998-11-20"",""event"":""Launched on a Proton-K rocket from Baikonur.""},{""date"":""1998-12-06"",""event"":""Connected to Unity through PMA-1.""}]",usdzs%secondary_components/Zarya_FGB.usdz,Zarya_FGB_secondary_component.usdz,,,false,[]
zvezda-service-module,Zvezda,Zvezda Service Module,service-module,Russian Orbital Segment,"{""Roscosmos""}","{""RKK Energia""}","{""Aluminum pressure shell"",""propulsion system"",""solar arrays"",""docking ports""}","The Russian service module that enabled permanent crewed operations by adding living quarters, life support, propulsion, guidance, and docking capability.","{""iss-assembly""}","[{""date"":""2000-07-12"",""event"":""Launched on a Proton-K rocket.""},{""date"":""2000-07-26"",""event"":""Docked to Zarya's aft port.""}]",usdzs%secondary_components/Zvezda_SM.usdz,Zvezda_SM_secondary_component.usdz,,,false,[]
